,inputs,policies,policies_sent,labels
10,"The LHCP can see the patient’s name, patient’s phone number, patient’s personal representative, patient’s blood pressure, patient’s glucose levels, patient’s height, patient’s weight, and patient’s pedometer readings as well as whom reported the data (patient, UAP name, personal representative name) for that date range.","[{'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients weight', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients glucose level', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients height', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients blood pressure', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients phone number', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients pedometer reading', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'see', 'resource': 'patients personal representative', 'condition': 'none', 'purpose': 'none'}]",lhcp is able to see patients weight and lhcp is able to see patients name and lhcp is shall not to see patients glucose level and lhcp is allowed to see patients height and lhcp is allowed to see patients blood pressure and lhcp is authorized to see patients phone number and lhcp is able to see patients pedometer reading and lhcp is allowed to see patients personal representative,0
11,A user enters their MID and their password to gain role-based entry into the iTrust Medical Records system  or requests that their password be changed .,"[{'decision': 'allow', 'subject': 'user', 'action': 'enter', 'resource': 'password', 'condition': 'none', 'purpose': 'gain rolebased entry into the itrust medical records system'}, {'decision': 'allow', 'subject': 'user', 'action': 'enter', 'resource': 'mid', 'condition': 'none', 'purpose': 'gain rolebased entry into the itrust medical records system'}, {'decision': 'allow', 'subject': 'user', 'action': 'request', 'resource': 'password', 'condition': 'none', 'purpose': 'none'}]",user is allowed to enter password for the purpose of gain rolebased entry into the itrust medical records system and user is allowed to enter mid for the purpose of gain rolebased entry into the itrust medical records system and user is allowed to request password,9
12," ""Writing to Resource F is prohibited for unauthorized subjects for any purpose.""","[{'decision': 'deny', 'subject': 'unauthorized subject', 'action': 'write', 'resource': 'f', 'condition': 'none', 'purpose': 'none'}]",unauthorized subject is not able to write f,9
13,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.","[{'decision': 'allow', 'subject': 'billing rep', 'action': 'use', 'resource': 'email address', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'collect', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'collect', 'resource': 'email address', 'condition': 'none', 'purpose': 'decision-making'}, {'decision': 'allow', 'subject': 'billing rep', 'action': 'use', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pharmacist', 'action': 'collect', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'use', 'resource': 'email address', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'billing rep', 'action': 'collect', 'resource': 'email address', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pharmacist', 'action': 'use', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'billing rep', 'action': 'collect', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pharmacist', 'action': 'collect', 'resource': 'email address', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'use', 'resource': 'customer name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pharmacist', 'action': 'use', 'resource': 'email address', 'condition': 'none', 'purpose': 'none'}]",billing rep is shall to use email address and customer service rep is authorized to collect customer name and customer service rep is allowed to collect email address for the purpose of decision-making and billing rep is shall to use customer name and pharmacist is shall to collect customer name and customer service rep is able to use email address and billing rep is allowed to collect email address and pharmacist is authorized to use customer name and billing rep is authorized to collect customer name and pharmacist is allowed to collect email address and customer service rep is able to use customer name and pharmacist is authorized to use email address,5
14,The reviewer can be added to the list of reviewers for that paper.,"[{'decision': 'deny', 'subject': 'none', 'action': 'add', 'resource': 'reviewer', 'condition': 'none', 'purpose': 'none'}]",reviewer is shall not to be add,0
15,"If the Registrar selected “Add a Student”, the Add a Student  subflow is executed.","[{'decision': 'allow', 'subject': 'none', 'action': 'grant', 'resource': 'add a student subflow', 'condition': 'registrar selected add a student', 'purpose': 'none'}]",add a student subflow is allowed to be grant if registrar selected add a student,2
16,An HCP may enter or edit their own demographic information according to data format 6.2.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'edit', 'resource': 'own demographic information', 'condition': 'none', 'purpose': 'none'}]",hcp is authorized to edit own demographic information,10
17,The HCP enters a MID  or name of a patient and confirms their selection.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'enter', 'resource': 'name of a patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'confirm', 'resource': 'selection', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'enter', 'resource': 'mid', 'condition': 'none', 'purpose': 'none'}]",hcp is allowed to enter name of a patient and hcp is authorized to confirm selection and mid is shall to be enter,6
18,The administrator may choose to upload a file containing LOINC code information .,"[{'decision': 'allow', 'subject': 'bank employee in mortgage department', 'action': 'upload', 'resource': 'file containing loinc code information', 'condition': 'none', 'purpose': 'none'}]",bank employee in mortgage department is authorized to upload file containing loinc code information,1
19,The CEO and CFO have full administrative privileges to manage user accounts and financial transactions.,"[{'decision': 'allow', 'subject': 'ceo', 'action': 'manage', 'resource': 'user account', 'condition': 'none', 'purpose': 'none'}]",ceo is authorized to manage user account,10
20,Managers are permitted to view and modify the financial reports between 9 am and 5 pm on business days for decision-making but not after office hours or on weekends.,"[{'decision': 'allow', 'subject': 'manager', 'action': 'view', 'resource': 'financial report', 'purpose': 'decision-making', 'condition': 'between 9 am and 5 pm on business days'}, {'decision': 'allow', 'subject': 'manager', 'action': 'modify', 'resource': 'financial report', 'purpose': 'decision-making', 'condition': 'between 9 am and 5 pm on business days'}, {'decision': 'deny', 'subject': 'manager', 'action': 'view', 'resource': 'financial report', 'purpose': 'decision-making', 'condition': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'modify', 'resource': 'financial report', 'purpose': 'decision-making', 'condition': 'after office hours or on weekends'}]","manager is able to view financial report for the purpose of decision-making, if between 9 am and 5 pm on business days and manager is shall to modify financial report for the purpose of decision-making, if between 9 am and 5 pm on business days and manager is unauthorized to view financial report for the purpose of decision-making and manager is shall not to modify financial report for the purpose of decision-making, if after office hours or on weekends",8
21,The message will display the risk factors that the patients exhibit.,"[{'decision': 'allow', 'subject': 'privacy policy', 'action': 'display', 'resource': 'risk factors that the patients exhibit', 'condition': 'none', 'purpose': 'none'}]",privacy policy is able to display risk factors that the patients exhibit,1
22,Pharmacy systems should never read medical records.,"[{'decision': 'deny', 'subject': 'pharmacy system', 'action': 'read', 'resource': 'medical record', 'condition': 'none', 'purpose': 'maintaining accurate health and inventory information'}]",pharmacy system is not able to read medical record for the purpose of maintaining accurate health and inventory information,5
23,"Confidential patient information can be accessed and viewed only by attending physicians, for diagnosis or treatment purposes, provided that the patient's permission has been obtained.","[{'decision': 'allow', 'subject': 'attending physician', 'action': 'access', 'resource': 'confidential patient information', 'purpose': 'diagnosis or treatment', 'condition': 'patient permission obtained'}, {'decision': 'allow', 'subject': 'attending physician', 'action': 'view', 'resource': 'none', 'purpose': 'diagnosis or treatment', 'condition': 'patient permission obtained'}]","attending physician is able to access confidential patient information for the purpose of diagnosis or treatment, if patient permission obtained and attending physician is authorized to view for the purpose of diagnosis or treatment, if patient permission obtained",7
24,"System presents a listing of immunization-related adverse events for the time period that do not have a status of ""removed"", sorted by CPT code .","[{'decision': 'allow', 'subject': 'system', 'action': 'present', 'resource': 'listing of immunizationrelated adverse event', 'condition': 'active cropping season', 'purpose': 'none'}]",system is able to present listing of immunizationrelated adverse event if active cropping season,4
25,"Only the Farm Manager and Senior Agronomists are permitted to alter, update or delete data related to crop yield estimates in the company's central database, provided that this action is solely for the purpose of annual audit and verification, and not during the peak harvest season.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'alter', 'resource': 'crop yield estimate data', 'purpose': 'annual audit and verification', 'condition': 'not during the peak harvest season'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'update', 'resource': 'crop yield estimate data', 'purpose': 'none', 'condition': 'not during the peak harvest season'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'delete', 'resource': 'crop yield estimate data', 'purpose': 'annual audit and verification', 'condition': 'not during the peak harvest season'}, {'decision': 'allow', 'subject': 'senior agronomist', 'action': 'alter', 'resource': 'crop yield estimate data', 'purpose': 'annual audit and verification', 'condition': 'not during the peak harvest season'}, {'decision': 'allow', 'subject': 'senior agronomist', 'action': 'update', 'resource': 'crop yield estimate data', 'purpose': 'annual audit and verification', 'condition': 'not during the peak harvest season'}, {'decision': 'allow', 'subject': 'senior agronomist', 'action': 'delete', 'resource': 'crop yield estimate data', 'purpose': 'annual audit and verification', 'condition': 'not during the peak harvest season'}]","farm manager is authorized to alter crop yield estimate data for the purpose of annual audit and verification, if not during the peak harvest season and farm manager is able to update crop yield estimate data if not during the peak harvest season and farm manager is able to delete crop yield estimate data for the purpose of annual audit and verification, if not during the peak harvest season and senior agronomist is able to alter crop yield estimate data for the purpose of annual audit and verification, if not during the peak harvest season and senior agronomist is shall to update crop yield estimate data for the purpose of annual audit and verification, if not during the peak harvest season and senior agronomist is able to delete crop yield estimate data for the purpose of annual audit and verification, if not during the peak harvest season",9
26,"If a patient or personal health manager has in fact already taken part in a survey on satisfaction with the office visit, the patient is prohibitted to do the survey during a visit to the office.","[{'decision': 'deny', 'subject': 'patient', 'action': 'do', 'resource': 'survey', 'condition': 'none', 'purpose': 'none'}]",patient is prohibited to do survey,8
27,The administrator selects a file containing LOINC information and chooses to upload it.,"[{'decision': 'allow', 'subject': 'none', 'action': 'select', 'resource': 'file containing loinc information', 'condition': 'none', 'purpose': 'upload'}]",file containing loinc information is allowed to be select for the purpose of upload,6
28,The system retrieves and displays the list of course offerings the professor is eligible to teach for the current semester.,"[{'decision': 'allow', 'subject': 'system', 'action': 'retrieve', 'resource': 'list of course offering', 'condition': 'none', 'purpose': 'none'}]",system is allowed to retrieve list of course offering,10
29,Bank tellers can access customer savings account records for service-related requests if the customer is present or provides explicit written consent.,"[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer savings account record', 'purpose': 'service-related requests', 'condition': 'customer is present or provides explicit written consent'}]","bank teller is able to access customer savings account record for the purpose of service-related requests, if customer is present or provides explicit written consent",11
30,Pharmacy staff may access and modify individual patient's prescription history for purposes of dispensing medication when the prescribed physician confirms the prescription.,"[{'decision': 'allow', 'subject': 'pharmacy staff', 'action': 'access', 'resource': 'individual patient prescription history', 'purpose': 'dispensing medication', 'condition': 'prescribed physician confirms the prescription'}, {'decision': 'allow', 'subject': 'pharmacy staff', 'action': 'modify', 'resource': 'individual patient prescription history', 'purpose': 'none', 'condition': 'prescribed physician confirms the prescription'}]","pharmacy staff is allowed to access individual patient prescription history for the purpose of dispensing medication, if prescribed physician confirms the prescription and pharmacy staff is shall to modify individual patient prescription history if prescribed physician confirms the prescription",9
31,"Engineers can modify or delete the project files on weekends or after working hours, provided it is necessary for urgent debugging or patch release.","[{'decision': 'allow', 'subject': 'engineer', 'action': 'modify', 'resource': 'project file', 'purpose': 'urgent debugging', 'condition': 'weekend or after working hours'}, {'decision': 'allow', 'subject': 'engineer', 'action': 'delete', 'resource': 'project file', 'purpose': 'urgent debugging', 'condition': 'weekend or after working hours'}, {'decision': 'allow', 'subject': 'engineer', 'action': 'delete', 'resource': 'project file', 'purpose': 'patch release', 'condition': 'weekend or after working hours'}]","engineer is authorized to modify project file for the purpose of urgent debugging, if weekend or after working hours and engineer is shall to delete project file for the purpose of urgent debugging, if weekend or after working hours and engineer is authorized to delete project file for the purpose of patch release, if weekend or after working hours",10
32,The patient or representative chooses one of these DLHCP.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'block', 'resource': 'dlhcp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'choose', 'resource': 'dlhcp', 'condition': 'none', 'purpose': 'none'}]",patient is allowed to block dlhcp and representative is shall to choose dlhcp,2
33,The representative types the subject and the text of a message.,"[{'decision': 'allow', 'subject': 'representative', 'action': 'type', 'resource': 'text of a message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'type', 'resource': 'uap', 'condition': 'none', 'purpose': 'none'}]",representative is allowed to type text of a message and representative is shall to type uap,3
34,Bank tellers may access and modify client account information during regular business hours for transactional purposes provided they have received explicit consent from the account holder.,"[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'client account information', 'purpose': 'transactional purposes', 'condition': 'during regular business hours and received explicit consent from the account holder'}, {'decision': 'allow', 'subject': 'none', 'action': 'modify', 'resource': 'client account information', 'purpose': 'transactional purposes', 'condition': 'during regular business hours and received explicit consent from the account holder'}]","bank teller is able to access client account information for the purpose of transactional purposes, if during regular business hours and received explicit consent from the account holder and client account information is allowed to be modify for the purpose of transactional purposes, if during regular business hours and received explicit consent from the account holder",6
35,A patient's personal representative or a patient or personal representative sends a message to DLHCP or that of a person they are representing.,"[{'decision': 'allow', 'subject': 'patients personal representative', 'action': 'send', 'resource': 'hcp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'personal representative', 'action': 'send', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'send', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}]",patients personal representative is authorized to send hcp and personal representative is able to send message and patient is able to send message,3
36,"Agricultural technicians are permitted to access and modify crop yield data only for the purpose of improving farming techniques, provided they have received explicit approval from their supervisor.","[{'decision': 'deny', 'subject': 'agricultural technician', 'action': 'access', 'resource': 'crop yield data', 'purpose': 'improving farming techniques', 'condition': 'received explicit approval from their supervisor'}, {'decision': 'allow', 'subject': 'agricultural technician', 'action': 'modify', 'resource': 'crop yield data', 'purpose': 'improving farming techniques', 'condition': 'received explicit approval from their supervisor'}]","agricultural technician is not able to access crop yield data for the purpose of improving farming techniques, if received explicit approval from their supervisor and agricultural technician is able to modify crop yield data for the purpose of improving farming techniques, if received explicit approval from their supervisor",0
37,The HCP does not have the ability to process or view an individual question or password from the recipient.,"[{'decision': 'deny', 'subject': 'hcp', 'action': 'view', 'resource': 'individual question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'process', 'resource': 'individual password', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'process', 'resource': 'individual question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'view', 'resource': 'individual password', 'condition': 'none', 'purpose': 'none'}]",hcp is shall not to view individual question and hcp is shall not to process individual password and hcp is not able to process individual question and hcp is unauthorized to view individual password,11
38,The administrator chooses a drug from each list to record an interaction between the two drugs.,"[{'decision': 'allow', 'subject': 'administrator', 'action': 'choose', 'resource': 'drug', 'condition': 'none', 'purpose': 'record an interaction between the two drug'}]",administrator is able to choose drug for the purpose of record an interaction between the two drug,11
39,"Assume that the method does not allow you to delete the existing entry via the system interface, and then change the name of the appointment service on an existing form.","[{'decision': 'deny', 'subject': 'you', 'action': 'change', 'resource': 'name of the appointment type', 'condition': 'none', 'purpose': 'none'}]",you is not able to change name of the appointment type,10
40,"System presents a list of the patient's expired prescriptions, sorted by start date (the later date is ranked earlier closer to the top).","[{'decision': 'allow', 'subject': 'system', 'action': 'enable', 'resource': 'list of the patients expired prescription', 'condition': 'none', 'purpose': 'none'}]",system is allowed to enable list of the patients expired prescription,2
41,"Bank employees can view and modify their own personal account information, while those in a role of bank manager or higher can access and change client account information, given they have received verbal or written consent from the client in question.","[{'decision': 'allow', 'subject': 'bank employee', 'action': 'view', 'resource': 'personal account information', 'purpose': 'none', 'condition': 'none'}, {'decision': 'allow', 'subject': 'bank employee', 'action': 'modify', 'resource': 'none', 'purpose': 'none', 'condition': 'none'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'access', 'resource': 'client account information', 'purpose': 'none', 'condition': 'received verbal or written consent from the client'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'change', 'resource': 'client account information', 'purpose': 'none', 'condition': 'received verbal or written consent from the client'}]",bank employee is allowed to view personal account information and bank employee is allowed to modify and bank manager is authorized to access client account information if received verbal or written consent from the client and bank manager is shall to change client account information if received verbal or written consent from the client,7
42,"The list of received lab procedures is sorted by priority (from most important to least important), with a secondary sort by timestamp (oldest to newest).","[{'decision': 'allow', 'subject': 'none', 'action': 'sort', 'resource': 'procedure code', 'condition': 'none', 'purpose': 'none'}]",procedure code is authorized to be sort,3
43,"The law must prevent students from changing instructional schedules located within their schedule, and professors for modifying assigned course offerings from full professors.","[{'decision': 'deny', 'subject': 'professor', 'action': 'modify', 'resource': 'assigned course offering', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'student', 'action': 'change', 'resource': 'instructional schedule', 'condition': 'none', 'purpose': 'none'}]",professor is unauthorized to modify assigned course offering and student is not able to change instructional schedule,11
44,"Bank tellers are only permitted to access customer account information for the purposes of transaction processing and customer service, provided no explicit denial has been issued by the account holder.","[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'list of appointments for the patients he represent', 'purpose': 'transaction processing', 'condition': 'no explicit denial has been issued by the account holder'}, {'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer account information', 'purpose': 'customer service', 'condition': 'no explicit denial has been issued by the account holder'}]","bank teller is able to access list of appointments for the patients he represent for the purpose of transaction processing, if no explicit denial has been issued by the account holder and bank teller is shall to access customer account information for the purpose of customer service, if no explicit denial has been issued by the account holder",3
45,"Accounting department employees are allowed to create, read, and modify financial records between 8:00 AM and 5:00 PM on weekdays for the purpose of processing transactions and preparing financial reports.","[{'decision': 'allow', 'subject': 'accounting department employee', 'action': 'create', 'resource': 'none', 'purpose': 'processing transactions and preparing financial reports', 'condition': 'between 8:00 AM and 5:00 PM on weekdays'}, {'decision': 'allow', 'subject': 'accounting department employee', 'action': 'read', 'resource': 'financial record', 'purpose': 'processing transactions and preparing financial reports', 'condition': 'between 8:00 AM and 5:00 PM on weekdays'}, {'decision': 'allow', 'subject': 'accounting department employee', 'action': 'modify', 'resource': 'financial record', 'purpose': 'processing transactions and preparing financial reports', 'condition': 'between 8:00 AM and 5:00 PM on weekdays'}]","accounting department employee is able to create for the purpose of processing transactions and preparing financial reports, if between 8:00 AM and 5:00 PM on weekdays and accounting department employee is shall to read financial record for the purpose of processing transactions and preparing financial reports, if between 8:00 AM and 5:00 PM on weekdays and accounting department employee is allowed to modify financial record for the purpose of processing transactions and preparing financial reports, if between 8:00 AM and 5:00 PM on weekdays",7
46,An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'bold', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",lhcp is shall to bold patient,2
47,"The system shall enable the administrator to (1) add a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes , and (2) modify the duration in an existing entry .","[{'decision': 'allow', 'subject': 'none', 'action': 'modify', 'resource': 'duration in an existing entry', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'add', 'resource': 'new entry', 'condition': 'none', 'purpose': 'none'}]",duration in an existing entry is shall to be modify and administrator is shall to add new entry,6
48,"Only the Human Resources team is granted permission to create, modify, and delete information in the employee database for hiring purposes, given that the employee has given consent.","[{'decision': 'allow', 'subject': 'human resources team', 'action': 'create', 'resource': 'employee database', 'purpose': 'hiring', 'condition': 'employee has given consent'}, {'decision': 'allow', 'subject': 'human resources team', 'action': 'modify', 'resource': 'employee database', 'purpose': 'hiring', 'condition': 'customer gives written consent'}, {'decision': 'allow', 'subject': 'human resources team', 'action': 'delete', 'resource': 'employee database', 'purpose': 'hiring', 'condition': 'employee has given consent'}]","human resources team is allowed to create employee database for the purpose of hiring, if employee has given consent and human resources team is able to modify employee database for the purpose of hiring, if customer gives written consent and human resources team is authorized to delete employee database for the purpose of hiring, if employee has given consent",4
49,"In both cases, system presents the name of the patient.","[{'decision': 'allow', 'subject': 'system', 'action': 'present', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",system is shall to present,7
50,All employees should sign a confidentiality agreement upon joining the company.,"[{'decision': 'allow', 'subject': 'employee', 'action': 'sign', 'resource': 'document', 'condition': 'none', 'purpose': 'none'}]",employee is authorized to sign document,3
51,"IT department staff members are allowed to create, modify, and delete user profiles in the company's database for the purpose of user management and security, provided they have taken the mandatory security training.","[{'decision': 'allow', 'subject': 'IT department staff member', 'action': 'create', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}, {'decision': 'allow', 'subject': 'IT department staff member', 'action': 'modify', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}, {'decision': 'allow', 'subject': 'none', 'action': 'delete', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}]","IT department staff member is able to create user profile for the purpose of user management and security, if taken the mandatory security training and IT department staff member is authorized to modify user profile for the purpose of user management and security, if taken the mandatory security training and user profile is able to be delete for the purpose of user management and security, if taken the mandatory security training",6
52,"Bank tellers are only permitted to access customer account information for the purposes of transaction processing and customer service, provided no explicit denial has been issued by the account holder.","[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer account information', 'purpose': 'customer service', 'condition': 'no explicit denial has been issued by the account holder'}]","bank teller is shall to access customer account information for the purpose of customer service, if no explicit denial has been issued by the account holder",10
